id,vid,name,name_en,external_uri,weight,parent
HES-000411,relative_datation,pravěk,prehistory,http://vocab.getty.edu/aat/300417277,1700,
HES-000418,relative_datation,datace neurčena,unspecified dating,http://vocab.getty.edu/aat/300379012,2600,
HES-000417,relative_datation,industriální období,Industrial Period,http://vocab.getty.edu/aat/300264736,2400,
HES-000413,relative_datation,vrcholný–pozdní středověk,High–Late Middle Ages,http://vocab.getty.edu/aat/300111307,1900,
HES-000408,relative_datation,doba stěhování národů,Migration Period,http://vocab.getty.edu/aat/300106913,1400,
HES-001470,relative_datation,mladší doba stěhování národů,Late Migration Period,http://vocab.getty.edu/aat/300106913,1420,
HES-001469,relative_datation,starší doba stěhování národů,Early Migration Period,http://vocab.getty.edu/aat/300106913,1410,
HES-000399,relative_datation,eneolit,Eneolithic,http://vocab.getty.edu/aat/300106757,500,
HES-001478,relative_datation,mladší eneolit,Late Eneolithic,http://vocab.getty.edu/aat/300106755,540,
HES-001477,relative_datation,střední eneolit,Middle Eneolithic,http://vocab.getty.edu/aat/300106753,530,
HES-001476,relative_datation,starší eneolit,Early Eneolithic,http://vocab.getty.edu/aat/300106751,520,
HES-001475,relative_datation,časný eneolit,Proto-Eneolithic,http://vocab.getty.edu/aat/300106751,510,
HES-001479,relative_datation,mladší–pozdní eneolit,Late–Final Eneolithic,http://vocab.getty.edu/aat/300106747,550,
HES-001468,relative_datation,pozdní paleolit,Epipalaeolithic,http://vocab.getty.edu/aat/300106730,140,
HES-000397,relative_datation,paleolit–mezolit,Palaeolithic–Mesolithic,http://vocab.getty.edu/aat/300106724,300,
HES-000415,relative_datation,novověk,Modern Period,http://vocab.getty.edu/aat/300021033,2100,
HES-000420,relative_datation,novověk–industriální období,Modern–Industrial Period,http://vocab.getty.edu/aat/300021033,2500,
HES-001472,relative_datation,raný středověk 4,Early Middle Ages 4,http://vocab.getty.edu/aat/300020766,1850,
HES-001471,relative_datation,raný středověk 3,Early Middle Ages 3,http://vocab.getty.edu/aat/300020764,1840,
HES-000412,relative_datation,raný středověk,Early Middle Ages,http://vocab.getty.edu/aat/300020760,1800,
HES-000416,relative_datation,středověk–novověk,Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2300,
HES-000414,relative_datation,středověk,Middle Ages,http://vocab.getty.edu/aat/300020756,2000,
HES-000406,relative_datation,doba římská,Roman Period,http://vocab.getty.edu/aat/300020533,1200,
HES-001466,relative_datation,mladší doba římská,Late Roman Period,http://vocab.getty.edu/aat/300020533,1220,
HES-001465,relative_datation,starší doba římská,Early Roman Period,http://vocab.getty.edu/aat/300020533,1210,
HES-000404,relative_datation,doba laténská,La Tène Period,http://vocab.getty.edu/aat/300019384,1000,
HES-001462,relative_datation,pozdní doba laténská (LtD),Final La Tène Period (LtD),http://vocab.getty.edu/aat/300019384,1040,
HES-001461,relative_datation,mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),http://vocab.getty.edu/aat/300019384,1030,
HES-001460,relative_datation,střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),http://vocab.getty.edu/aat/300019384,1025,
HES-001459,relative_datation,střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),http://vocab.getty.edu/aat/300019384,1020,
HES-001458,relative_datation,časná doba laténská (LtA),Early La Tène Period (LtA),http://vocab.getty.edu/aat/300019384,1010,
HES-000402,relative_datation,doba halštatská,Hallstatt Period,http://vocab.getty.edu/aat/300019368,800,
HES-001487,relative_datation,mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),http://vocab.getty.edu/aat/300019368,830,
HES-001485,relative_datation,starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),http://vocab.getty.edu/aat/300019368,810,
HES-001482,relative_datation,období popelnicových polí,Urnfield Period,http://vocab.getty.edu/aat/300019362,730,
HES-000400,relative_datation,neolit–eneolit,Neolithic–Eneolithic,http://vocab.getty.edu/aat/300019332,600,
HES-000403,relative_datation,doba bronzová–halštatská,Bronze Age–Hallstatt Period,http://vocab.getty.edu/aat/300019279,900,
HES-001486,relative_datation,HaD–LtA,HaD–LtA,http://vocab.getty.edu/aat/300019279,820,
HES-000409,relative_datation,doba římská–stěhování národů,Roman–Migration Period,http://vocab.getty.edu/aat/300019279,1500,
HES-000407,relative_datation,doba laténská–římská,La Tène–Roman Period,http://vocab.getty.edu/aat/300019279,1300,
HES-000405,relative_datation,doba halštatská–laténská,Hallstatt–La Tène Period,http://vocab.getty.edu/aat/300019279,1100,
HES-001483,relative_datation,mladší doba bronzová,Late Bronze Age,http://vocab.getty.edu/aat/300019278,740,
HES-001484,relative_datation,pozdní doba bronzová,Final Bronze Age,http://vocab.getty.edu/aat/300019278,750,
HES-001481,relative_datation,střední doba bronzová,Middle Bronze Age,http://vocab.getty.edu/aat/300019277,720,
HES-001480,relative_datation,starší doba bronzová,Early Bronze Age,http://vocab.getty.edu/aat/300019276,710,
HES-000401,relative_datation,doba bronzová,Bronze Age,http://vocab.getty.edu/aat/300019275,700,
HES-001474,relative_datation,střední–mladší neolit,Middle–Late Neolithic,http://vocab.getty.edu/aat/300019272,420,
HES-001473,relative_datation,starší neolit,Early Neolithic,http://vocab.getty.edu/aat/300019270,410,
HES-000398,relative_datation,neolit,Neolithic,http://vocab.getty.edu/aat/300019267,400,
HES-000396,relative_datation,mezolit,Mesolithic,http://vocab.getty.edu/aat/300019264,200,
HES-001467,relative_datation,mladší paleolit,Upper Palaeolithic,http://vocab.getty.edu/aat/300019262,130,
HES-001464,relative_datation,střední paleolit,Middle Palaeolithic,http://vocab.getty.edu/aat/300019261,120,
HES-001463,relative_datation,starší paleolit,Lower Palaeolithic,http://vocab.getty.edu/aat/300019260,110,
HES-000395,relative_datation,paleolit,Palaeolithic,http://vocab.getty.edu/aat/300019258,100,
HES-000277,relative_datation,rané středohradištní období,Early Middle Hillfort Period,http://vocab.getty.edu/aat/300020764,1841,HES-001471
HES-000301,relative_datation,raný středověk 2,Early Middle Ages 2,http://vocab.getty.edu/aat/300020760,1830,HES-000412
HES-000283,relative_datation,magdalénien,Magdalenian,http://vocab.getty.edu/aat/300019305,136,HES-001467
HES-000363,relative_datation,kultura s moravskou malovanou keramikou 2,Moravian Painted Ware Culture 2,http://vocab.getty.edu/aat/300106751,511,HES-001475
HES-000377,relative_datation,billendorfská kultura (HaC),Billendorf Culture (HaC),http://vocab.getty.edu/aat/300019368,811,HES-001485
HES-000299,relative_datation,nynická kultura,Nynice Culture,http://vocab.getty.edu/aat/300019278,756,HES-001484
HES-000309,relative_datation,HaD–LtA,HaD–LtA,http://vocab.getty.edu/aat/300019279,820,HES-001486
HES-000286,relative_datation,časný eneolit,Proto-Eneolithic,http://vocab.getty.edu/aat/300106751,510,HES-001475
HES-000346,relative_datation,doba římská–stěhování národů,Roman–Migration Period,http://vocab.getty.edu/aat/300019279,1500,HES-000409
HES-000271,relative_datation,pozdní středověk,Late Middle Ages,http://vocab.getty.edu/aat/300111307,1920,HES-000413
HES-000328,relative_datation,vrcholný středověk,High Middle Ages,http://vocab.getty.edu/aat/300111307,1910,HES-000413
HES-000384,relative_datation,doba bronzová–halštatská,Bronze Age–Hallstatt Period,http://vocab.getty.edu/aat/300019279,900,HES-000403
HES-000379,relative_datation,raný středověk 3,Early Middle Ages 3,http://vocab.getty.edu/aat/300020764,1840,HES-001471
HES-000391,relative_datation,protoúnětická kultura,Proto-Únětice Culture,http://vocab.getty.edu/aat/300019361,711,HES-001480
HES-000380,relative_datation,středověk,Middle Ages,http://vocab.getty.edu/aat/300020756,2000,HES-000414
HES-000252,relative_datation,novověk,Modern Period,http://vocab.getty.edu/aat/300021033,2100,HES-000415
HES-000371,relative_datation,chamská kultura,Cham Culture,http://vocab.getty.edu/aat/300106753,532,HES-001477
HES-000388,relative_datation,saská lužická kultura,Saxonian-Lusatian Culture,http://vocab.getty.edu/aat/300019362,746,HES-001483
HES-000302,relative_datation,vyspělé středohradištní období,Advanced Middle Hillfort Period,http://vocab.getty.edu/aat/300020764,1842,HES-001471
HES-000373,relative_datation,jevišovická kultura,Jevišovice Culture,http://vocab.getty.edu/aat/300106755,541,HES-001478
HES-000273,relative_datation,vrcholný středověk–novověk,High Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2200,HES-000416
HES-000325,relative_datation,raný středověk 4,Early Middle Ages 4,http://vocab.getty.edu/aat/300020766,1850,HES-001472
HES-000382,relative_datation,novověk 2,Modern Period 2,http://vocab.getty.edu/aat/300021147,2120,HES-000415
HES-000344,relative_datation,dobrodzieńská skupina,Dobrodzień Group,http://vocab.getty.edu/aat/300106913,1411,HES-001469
HES-000297,relative_datation,štítarská kultura,Štítary Culture,http://vocab.getty.edu/aat/300019278,754,HES-001484
HES-000294,relative_datation,chebská kultura,Cheb Culture,http://vocab.getty.edu/aat/300019278,745,HES-001483
HES-000259,relative_datation,kobylská skupina,Kobyly Group,http://vocab.getty.edu/aat/300019384,1041,HES-001462
HES-000389,relative_datation,kultura münchshöfenská,Münchshofen Culture,http://vocab.getty.edu/aat/300019272,424,HES-001474
HES-000341,relative_datation,mladší doba římská,Late Roman Period,http://vocab.getty.edu/aat/300020533,1220,HES-001466
HES-000295,relative_datation,slezskoplatěnická kultura,Silesian-Platěnice Culture,http://vocab.getty.edu/aat/300019362,751,HES-001484
HES-000318,relative_datation,kultura zvoncovitých pohárů,Bell Beaker Culture,http://vocab.getty.edu/aat/300106854,553,HES-001479
HES-000276,relative_datation,raný středověk 2–4,Early Middle Ages 2–4,http://vocab.getty.edu/aat/300020760,1820,HES-000412
HES-000284,relative_datation,paleolit–mezolit,Palaeolithic–Mesolithic,http://vocab.getty.edu/aat/300106724,300,HES-000397
HES-000317,relative_datation,badenská kultura,Baden Culture,http://vocab.getty.edu/aat/300390564,531,HES-001477
HES-000268,relative_datation,starší neolit,Early Neolithic,http://vocab.getty.edu/aat/300019270,410,HES-001473
HES-000332,relative_datation,halštatská mohylová kultura,Hallstatt Tumulus Culture,http://vocab.getty.edu/aat/300019368,813,HES-001485
HES-000322,relative_datation,střední doba bronzová,Middle Bronze Age,http://vocab.getty.edu/aat/300019277,720,HES-001481
HES-000339,relative_datation,milavečská kultura,Milavče Culture,http://vocab.getty.edu/aat/300019278,743,HES-001483
HES-000313,relative_datation,taubachien,Taubachian,http://vocab.getty.edu/aat/300019261,122,HES-001464
HES-000349,relative_datation,industriální období 2,Industrial Period 2,http://vocab.getty.edu/aat/300404514,2420,HES-000417
HES-000324,relative_datation,českofalcká mohylová kultura,Bohemian-Palatinate Tumulus Culture,http://vocab.getty.edu/aat/300019360,722,HES-001481
HES-000358,relative_datation,únětická kultura,Únětice Culture,http://vocab.getty.edu/aat/300019361,712,HES-001480
HES-000393,relative_datation,plaňanský typ,Plaňany Type,http://vocab.getty.edu/aat/300020533,1211,HES-001465
HES-000320,relative_datation,hatvanská kultura,Hatvan Culture,http://vocab.getty.edu/aat/300019276,714,HES-001480
HES-000361,relative_datation,kultura s vypíchanou keramikou,Stroke Pottery Culture,http://vocab.getty.edu/aat/300106849,421,HES-001474
HES-000258,relative_datation,pozdní doba laténská (LtD),Final La Tène Period (LtD),http://vocab.getty.edu/aat/300019384,1040,HES-001462
HES-000253,relative_datation,paleolit,Palaeolithic,http://vocab.getty.edu/aat/300019258,100,HES-000395
HES-000282,relative_datation,miškovický typ,Míškovice Type,http://vocab.getty.edu/aat/300019262,134,HES-001467
HES-000337,relative_datation,lužická kultura,Lusatian Culture,http://vocab.getty.edu/aat/300019362,741,HES-001483
HES-000394,relative_datation,šárecký typ,Šárka Type,http://vocab.getty.edu/aat/300107826,412,HES-001473
HES-000269,relative_datation,kultura s lineární keramikou,Linear Pottery Culture,http://vocab.getty.edu/aat/300107826,411,HES-001473
HES-000305,relative_datation,oberlauterbašská skupina,Oberlauterbach Group,http://vocab.getty.edu/aat/300019270,414,HES-001473
HES-000368,relative_datation,kultura nálevkovitých pohárů,Funnel Beaker Culture,http://vocab.getty.edu/aat/300019337,522,HES-001476
HES-000336,relative_datation,starší doba římská,Early Roman Period,http://vocab.getty.edu/aat/300020533,1210,HES-001465
HES-000272,relative_datation,přechod pozdní středověk/novověk,Late Middle Ages/Modern Transition,http://vocab.getty.edu/aat/300021141,1930,HES-000413
HES-000289,relative_datation,pravěk,prehistory,http://vocab.getty.edu/aat/300417277,1700,HES-000411
HES-000353,relative_datation,podolská kultura,Podolí Culture,http://vocab.getty.edu/aat/300019362,753,HES-001484
HES-000351,relative_datation,kultura Kosihy-Čaka,Kosihy-Čaka Culture,http://vocab.getty.edu/aat/300106747,552,HES-001479
HES-000262,relative_datation,aurignacien,Aurignacian,http://vocab.getty.edu/aat/300019292,133,HES-001467
HES-000354,relative_datation,doba halštatská,Hallstatt Period,http://vocab.getty.edu/aat/300019368,800,HES-000402
HES-000312,relative_datation,moustérien,Mousterian,http://vocab.getty.edu/aat/300019291,121,HES-001464
HES-000290,relative_datation,mladší doba bronzová,Late Bronze Age,http://vocab.getty.edu/aat/300019278,740,HES-001483
HES-000278,relative_datation,pozdní středohradištní období,Final Middle Hillfort Period,http://vocab.getty.edu/aat/300020764,1843,HES-001471
HES-000285,relative_datation,eneolit,Eneolithic,http://vocab.getty.edu/aat/300106757,500,HES-000399
HES-000279,relative_datation,kultura kulovitých amfor,Globular Amphora Culture,http://vocab.getty.edu/aat/300106753,534,HES-001477
HES-000372,relative_datation,řivnáčská kultura,Řivnáč Culture,http://vocab.getty.edu/aat/300106753,533,HES-001477
HES-000347,relative_datation,industriální období,Industrial Period,http://vocab.getty.edu/aat/300264736,2400,HES-000417
HES-000310,relative_datation,mladší doba halštatská (HaD2–3),Late Hallstatt Period (HaD2–3),http://vocab.getty.edu/aat/300019368,830,HES-001487
HES-000367,relative_datation,kultura Retz-Bajč-Křepice,Retz-Bajč-Křepice (Furchenstich) Culture,http://vocab.getty.edu/aat/300106751,521,HES-001476
HES-000326,relative_datation,pozdněhradištní období,Final Hillfort Period,http://vocab.getty.edu/aat/300020766,1853,HES-001472
HES-000350,relative_datation,novověk–industriální období,Modern–Industrial Period,http://vocab.getty.edu/aat/300021033,2500,HES-000420
HES-000263,relative_datation,epigravettien,Epigravettian,http://vocab.getty.edu/aat/300019300,137,HES-001467
HES-000311,relative_datation,gravettien,Gravettian,http://vocab.getty.edu/aat/300019297,135,HES-001467
HES-000323,relative_datation,středodunajská mohylová kultura,Middle-Danubian Tumulus Culture,http://vocab.getty.edu/aat/300019360,721,HES-001481
HES-000280,relative_datation,mladší eneolit,Late Eneolithic,http://vocab.getty.edu/aat/300106755,540,HES-001478
HES-000288,relative_datation,doba laténská–římská,La Tène–Roman Period,http://vocab.getty.edu/aat/300019279,1300,HES-000407
HES-000366,relative_datation,starší eneolit,Early Eneolithic,http://vocab.getty.edu/aat/300106751,520,HES-001476
HES-000338,relative_datation,velatická kultura,Velatice Culture,http://vocab.getty.edu/aat/300019362,742,HES-001483
HES-000264,relative_datation,pozdní paleolit,Epipalaeolithic,http://vocab.getty.edu/aat/300106730,140,HES-001468
HES-000298,relative_datation,slezská kultura,Silesian Culture,http://vocab.getty.edu/aat/300019362,755,HES-001484
HES-000256,relative_datation,kultura púchovská,Púchov Culture,http://vocab.getty.edu/aat/300019384,1031,HES-001461
HES-000385,relative_datation,raný středověk,Early Middle Ages,http://vocab.getty.edu/aat/300020760,1800,HES-000412
HES-000364,relative_datation,schusseriedská kultura,Schussenried Culture,http://vocab.getty.edu/aat/300106751,513,HES-001475
HES-000348,relative_datation,industriální období 1,Industrial Period 1,http://vocab.getty.edu/aat/300404513,2410,HES-000417
HES-000375,relative_datation,kultura se šňůrovou keramikou,Corded Ware Culture,http://vocab.getty.edu/aat/300106852,551,HES-001479
HES-000303,relative_datation,vyspělé mladohradištní období,Advanced Late Hillfort Period,http://vocab.getty.edu/aat/300020766,1852,HES-001472
HES-000345,relative_datation,mladší doba stěhování národů,Late Migration Period,http://vocab.getty.edu/aat/300106913,1420,HES-001470
HES-000390,relative_datation,doba bronzová,Bronze Age,http://vocab.getty.edu/aat/300019275,700,HES-000401
HES-000392,relative_datation,středověk–novověk,Middle Ages–Modern Period,http://vocab.getty.edu/aat/300020756,2300,HES-000416
HES-000257,relative_datation,kultura przeworská,Przeworsk Culture,http://vocab.getty.edu/aat/300019384,1032,HES-001461
HES-000304,relative_datation,zemědělský pravěk,farming prehistory,http://vocab.getty.edu/aat/300417277,1600,HES-000411
HES-000314,relative_datation,krumlovien,Krumlovian,http://vocab.getty.edu/aat/300019261,124,HES-001464
HES-000291,relative_datation,starší paleolit,Lower Palaeolithic,http://vocab.getty.edu/aat/300019260,110,HES-001463
HES-000281,relative_datation,období popelnicových polí,Urnfield Period,http://vocab.getty.edu/aat/300019362,730,HES-001482
HES-000267,relative_datation,neolit,Neolithic,http://vocab.getty.edu/aat/300019267,400,HES-000398
HES-000378,relative_datation,slezskoplatěnická kultura (HaC–D),Silesian–Platěnice Culture (HaC–D),http://vocab.getty.edu/aat/300019368,816,HES-001485
HES-000300,relative_datation,platěnická kultura,Platěnice Culture,http://vocab.getty.edu/aat/300019368,815,HES-001485
HES-000293,relative_datation,knovízská kultura,Knovíz Culture,http://vocab.getty.edu/aat/300019278,744,HES-001483
HES-000357,relative_datation,bošácká skupina,Bošáca Group,http://vocab.getty.edu/aat/300106755,542,HES-001478
HES-000287,relative_datation,jordanovská kultura,Jordanów Culture,http://vocab.getty.edu/aat/300106751,512,HES-001475
HES-000321,relative_datation,věteřovská kultura,Věteřov Culture,http://vocab.getty.edu/aat/300019276,715,HES-001480
HES-000308,relative_datation,turnovský typ,Turnov type,http://vocab.getty.edu/aat/300019368,817,HES-001485
HES-000334,relative_datation,doba halštatská–laténská,Hallstatt–La Tène Period,http://vocab.getty.edu/aat/300019279,1100,HES-000405
HES-000265,relative_datation,epimagdalénien,Epimagdalenian,http://vocab.getty.edu/aat/300019305,141,HES-001468
HES-000260,relative_datation,szeletien,Szeletian,http://vocab.getty.edu/aat/300106812,131,HES-001467
HES-000331,relative_datation,bylanská kultura,Bylany Culture,http://vocab.getty.edu/aat/300019368,812,HES-001485
HES-000381,relative_datation,novověk 1,Modern Period 1,http://vocab.getty.edu/aat/300021140,2110,HES-000415
HES-000270,relative_datation,přechod raný/vrcholný středověk,Early/High Middle Ages Transition,http://vocab.getty.edu/aat/300020760,1860,HES-000413
HES-000266,relative_datation,ostroměřská skupina,Ostroměř Group,http://vocab.getty.edu/aat/300106730,142,HES-001468
HES-000352,relative_datation,kultura Chlopice-Veselé,Chlopice-Veselé Culture,http://vocab.getty.edu/aat/300106747,554,HES-001479
HES-000383,relative_datation,pozdní doba bronzová,Final Bronze Age,http://vocab.getty.edu/aat/300019278,750,HES-001484
HES-000327,relative_datation,vrcholný–pozdní středověk,High–Late Middle Ages,http://vocab.getty.edu/aat/300111307,1900,HES-000413
HES-000333,relative_datation,střední doba laténská (LtB–C1),Middle La Tène Period (LtB–C1),http://vocab.getty.edu/aat/300019384,1020,HES-001459
HES-000362,relative_datation,kultura s moravskou malovanou keramikou 1,Moravian Painted Ware Culture 1,http://vocab.getty.edu/aat/300019272,422,HES-001474
HES-000307,relative_datation,horákovská kultura,Horákov Culture,http://vocab.getty.edu/aat/300019368,814,HES-001485
HES-000369,relative_datation,ohrozimský typ,Ohrozim Type,http://vocab.getty.edu/aat/300106751,523,HES-001476
HES-000329,relative_datation,podmokelská skupina,Podmokly Group,http://vocab.getty.edu/aat/300019384,1011,HES-001458
HES-000292,relative_datation,micoquien,Micoquien,http://vocab.getty.edu/aat/300106810,123,HES-001464
HES-000387,relative_datation,neolit–eneolit,Neolithic–Eneolithic,http://vocab.getty.edu/aat/300019332,600,HES-000400
HES-000365,relative_datation,michelsberská kultura,Michelsberg Culture,http://vocab.getty.edu/aat/300106751,514,HES-001475
HES-000340,relative_datation,želiezovská skupina,Želizovce Group,http://vocab.getty.edu/aat/300019270,413,HES-001473
HES-000386,relative_datation,raný středověk 1,Early Middle Ages 1,http://vocab.getty.edu/aat/300019537,1810,HES-000412
HES-000370,relative_datation,střední eneolit,Middle Eneolithic,http://vocab.getty.edu/aat/300106753,530,HES-001477
HES-000275,relative_datation,mezolit,Mesolithic,http://vocab.getty.edu/aat/300019264,200,HES-000396
HES-000255,relative_datation,mladší–pozdní doba laténská (LtC2–D),Late–Final La Tène Period (LtC2–D),http://vocab.getty.edu/aat/300019384,1030,HES-001461
HES-000319,relative_datation,starší doba bronzová,Early Bronze Age,http://vocab.getty.edu/aat/300019276,710,HES-001480
HES-000254,relative_datation,doba laténská,La Tène Period,http://vocab.getty.edu/aat/300019384,1000,HES-000404
HES-000261,relative_datation,bohunicien,Bohunician,http://vocab.getty.edu/aat/300019262,132,HES-001467
HES-000359,relative_datation,nitranská kultura,Nitra Culture,http://vocab.getty.edu/aat/300019276,713,HES-001480
HES-000306,relative_datation,lengyelská kultura,Lengyel Culture,http://vocab.getty.edu/aat/300249387,423,HES-001474
HES-000343,relative_datation,starší doba stěhování národů,Early Migration Period,http://vocab.getty.edu/aat/300106913,1410,HES-001469
HES-000296,relative_datation,slezskoplatěnická kultura (HaB),Silesian-Platěnice Culture (HaB),http://vocab.getty.edu/aat/300019362,752,HES-001484
HES-000376,relative_datation,starší doba halštatská (HaC–D1),Early Hallstatt Period (HaC–D1),http://vocab.getty.edu/aat/300019368,810,HES-001485
HES-000355,relative_datation,časná doba laténská (LtA),Early La Tène Period (LtA),http://vocab.getty.edu/aat/300019384,1010,HES-001458
HES-000356,relative_datation,rané mladohradištní období,Early Late Hillfort Period,http://vocab.getty.edu/aat/300020766,1851,HES-001472
HES-000360,relative_datation,střední–mladší neolit,Middle–Late Neolithic,http://vocab.getty.edu/aat/300019272,420,HES-001474
HES-000335,relative_datation,doba římská,Roman Period,http://vocab.getty.edu/aat/300020533,1200,HES-000406
HES-000274,relative_datation,střední paleolit,Middle Palaeolithic,http://vocab.getty.edu/aat/300019261,120,HES-001464
HES-000374,relative_datation,mladší/pozdní eneolit,Late/Final Eneolithic,http://vocab.getty.edu/aat/300106747,550,HES-001479
HES-000315,relative_datation,mladší paleolit,Upper Palaeolithic,http://vocab.getty.edu/aat/300019262,130,HES-001467
HES-000342,relative_datation,doba stěhování národů,Migration Period,http://vocab.getty.edu/aat/300106913,1400,HES-000408
HES-000330,relative_datation,billendorfská kultura,Billendorf Culture,http://vocab.getty.edu/aat/300019278,757,HES-001484
HES-001447,relative_datation,střední/mladší doba laténská (LtC1–2),Middle/Late La Tène Period (LtC1–2),http://vocab.getty.edu/aat/300019384,1025,HES-001460
HES-000316,relative_datation,datace neurčena,unspecified dating,http://vocab.getty.edu/aat/300379012,2600,HES-000418
